TSV files	no. records	Series	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
LIVE_C1715_3Sep2019_TSV.txt	6579	ADM 6			"Admiralty: Service Records, Registers, Returns and Certificates"	"The majority of this series consists of service records of sea, marine and naval officers. ¶ It includes commission and warrant books, succession books, and registers of shore appointments, as well as some service registers. There are collections of passing certificates for lieutenants and warrant officers, returns to the 1822 survey of officers' ages, and leave books. ¶ A large collection of volumes concerns applicants for admission to Greenwich Hospital. Another consists of the records of the Charity for the Relief of Sea Officers' Widows. Among the remaining records are nominations for naval cadetships and the parochial registers of some dockyard and barrack churches. ¶ PLEASE NOTE: Electronic images of selected pieces of these records can be searched online through our partner website. Pieces 418 and 420-422 only have been digitised at this time (February 2013); further releases to follow."	1673-1960	477 volume(s)			Other related material may be found in 		Normal Closure before FOI Act: 	30		C1715
LIVE_C1782_3Sep2019_TSV.txt	33384	ADM 73			"Admiralty: Royal Greenwich Hospital: Pensioners and School Admission Papers, Out Pensions Pay Books and Miscellaneous Registers"	"These miscellaneous records of Royal Greenwich Hospital include the following: Pensioners' admission papers, 1790 to 1865. They give descriptions, with the services in the Navy and the nature of disablement. Entry books of officers and pensioners, 1704 to 1869. These give very full particulars and are mostly indexed. * Establishment books, entry books, muster books and registers, 1704 to 1869. Nurses, labourers, servants, etc. Out-pension pay books, 1781 to 1809. Artificers' wages lists, etc, 1845 to 1866. Burial Registers, 1844 to 1981. * School admission papers, 1728 to 1870. These contain baptismal or birth certificates of the children, with marriage certificates of the parents, fathers' naval services, etc. Arranged under first letters. * School registers, 1728 to 1883. Registers of claims and candidates, admissions, apprenticing, etc., of boys and girls. These generally give full particulars as to the birth of the children, the parents' marriages and circumstances, services, etc., and are mostly indexed. * Registers of freight charges, 1828 to 1914, with an index, 1841 to 1868. Registers of allowances paid to wives or guardians of children of men in receipt of Naval pensions admitted to public lunatic asylums, 1899 to 1948."	1704-1981	465 volume(s)			See also the officers service records in  ADM 29		Normal Closure before FOI Act: 	30		C1782
LIVE_C2057_3Sep2019_TSV.txt	25494	AIR 2			Air Ministry and Ministry of Defence: Registered Files	"Files of registered correspondence of the Air Ministry, including records which originated in the War Office, the Admiralty and the two Air Boards which preceded the Air Ministry. ¶ The series comprises policy, case, committee and miscellaneous papers and reports over the whole range of British air administration and related topics. ¶ With the unification of the Ministry of Defence in 1964, the Air Ministry became the Air Department of the Ministry of Defence, its registered files are generally to be found thereafter in DEFE 71, but there is some overlap with this series."	1887-1995	20506 file(s)		Excluded from this series are a large number of important papers collected for use in the official history of the Department. These have been kept separate by the Historical Branch of the Air Ministry and have been placed in:			Normal Closure before FOI Act: 	30		C2057
LIVE_C6416_3Sep2019_TSV.txt	233	DT 10			General Nursing Council for England and Wales: Registration: The Register of Nurses	This series contains the Register of nurses and supplementary registers maintained by the General Nursing Council. ¶ The series contains a list of nurses (SRNs) from 1921 to 1973. Although the register was opened in 1921 it includes details of nurses who qualified previous to this. ¶ Printed nominal indexes are in DT 10/1-56. ¶ DT 10/201 contains the list of nurses which was opened under the 1943 Nurses Act to allow those who had failed to register under the provisions of 1919 to do so.	1921-1973	201 volume(s)					Normal Closure before FOI Act: 	30		C6416
LIVE_C6417_3Sep2019_TSV.txt	59	DT 11			General Nursing Council for England and Wales: Registration: The Roll of Nurses	"This series contains the Roll of Assistant, later Enrolled Nurses (having only two years' training) compiled by the General Nursing Council for England and Wales under the provisions of the 1973 Nurses Act. ¶ The Roll of Nurses (SENs) was opened in 1944 and is held in this series. ¶ Both male and female assistant nurses are included on the same Roll, but assistant nurses who worked in mental hospitals were not deemed to be eligible for inclusion. ¶ Printed nominal indexes are in DT 11/1-9."	1944-1973	51 volume(s)					Normal Closure before FOI Act: 	30		C6417
LIVE_C6418_3Sep2019_TSV.txt	34	DT 12			General Nursing Council for England and Wales: Registration: Computerised Register and Roll	"Prints on papers and films on fiche of the General Nursing Council's register and rolls, and lists of the different categories of nurses. ¶ The main document in this series is a laser print from the computer tape containing the names of those nurses still on the register and roll in 1983, from the opening of the register on 30 September 1921 to the dissolution of the GNC at close of business on 30 June 1983. It does not include the list of nurses and it does not contain the names of nurses: ¶ known to be dead * removed by order of the Disciplinary Committee, who might be restored later * who failed to pay the consolidated retention fee, who might be re-included later * who were enrolled by virtue of having passed the final practical examination for registration (enrolment by direct entry), or who were later registered and had allowed their enrolment to lapse. This occurred from 1969 onwards. ¶ Also included in this series are three sets of microfiche (DT12/24-26) produced by the batch maintenance computer system. Under this system, up-dating of records was managed by sending a batch of information on changes and additions to the computer bureau and receiving in return, nine times a year, an up-dated microfiche. The microfiche in this series are the last silver halide masters to be produced (DT12/25-26) and the earliest surviving diazo print (DT12/24). They contain information, such as full name and training school, not found in the print-out."	1973-1983	28 microform and volumes					Normal Closure before FOI Act: 	30		C6418
LIVE_C6488_3Sep2019_TSV.txt	126	DV 7			Central Midwives Board: Midwives Roll	"This series contains the Midwives Roll, which was compiled annually by the secretary of the Central Midwives Board in accordance with the provisions of the Midwives Act 1902. The Midwives Roll comprises the notification (to the Central Midwives Board) by certified midwives of their intention to practice."	1872-1983	117 volume(s)					Normal Closure before FOI Act: 	30		C6488
LIVE_C10132_3Sep2019_TSV.txt	553	LAB 17	STATS file series		Ministry of Labour and successors: Statistics Department and Division: Registered Files and other records	"This series contains files (mainly from the STATS series of the Ministry of Labour and its successors) concerned with labour force and wage statistics, and a complete set of forms of the Statistics Department and Division. Also included are records covering Family Budget Enquiries (including the returns of the Enquiry of 1937-1938); the earnings and hours enquiries of 1944 and 1945; the Household Expenditure Enquiry 1953-1954; the Family Expenditure Surveys of the 1950s and 1960s; and the Retail Price Index. The series includes papers concerning the application of automatic data processing to labour statistics."	1918-1994	535 file(s)					Normal Closure before FOI Act: 	30		C10132
LIVE_C10134_3Sep2019_TSV.txt	972	LAB 19	"JV, ETJ, IA and YE file series"		"Ministry of Labour and successors: Youth Employment, Registered Files (JV, ETJ, IA and YE Series)"	"This series contains registered files from the Ministry of Labour and successors' JV (juvenile), ETJ, IA and YE (youth employment) series and a complete set of forms relating to youth employment, the exercise of local education authorities' employment powers and vocational guidance. ¶ The series includes the records of the National Advisory Council for Juvenile Employment, the interrupted apprenticeship scheme and the National Juvenile (later Youth) Employment Council, together with papers of the Central Youth Employment Executive and reports from HM Inspectors of schools on the working of the Youth Employment Service."	1913-1980	934 file(s)			"For files of the Board of Education Technical Branch concerning Local Education Authority Juvenile Unemployment Centres, later Juvenile Instruction Centres see ED 45"		Normal Closure before FOI Act: 	30		C10134
LIVE_C10141_3Sep2019_TSV.txt	323	LAB 26			Ministry of Labour and National Service and successors: Welfare Department	"Files relating to general welfare matters, covering a variety of subjects including accommodation (particularly for immigrant post war refugees and other foreign nationals), the recruitment of foreigners to work in Britain, hostels, housing estates for Polish workers, clubs and other recreational centres, entertainment, women war workers, holidays during wartime and staggered holidays. The series also contains minutes of meetings of the Seamen's Welfare Board, 1940 to 1944, files concerning the Committee on Seamen's Welfare in Ports (the Graham White Committee), and a series of monthly reports from the regional welfare officers."	1940-1956	298 file(s)					Normal Closure before FOI Act: 	30		C10141
