Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	LAB 17	STATS file series		Ministry of Labour and successors: Statistics Department and Division: Registered Files and other records	This series contains files (mainly from the STATS series of the Ministry of Labour and its successors) concerned with labour force and wage statistics, and a complete set of forms of the Statistics Department and Division. Also included are records covering Family Budget Enquiries (including the returns of the Enquiry of 1937-1938); the earnings and hours enquiries of 1944 and 1945; the Household Expenditure Enquiry 1953-1954; the Family Expenditure Surveys of the 1950s and 1960s; and the Retail Price Index. The series includes papers concerning the application of automatic data processing to labour statistics.	1918-1994	535 file(s)					Normal Closure before FOI Act: 	30		C10132
>>>>   				Family Budget Enquiry, 1937-38 Advisory Committee on Working Class Expenditure			 								C43961
>>>>>  				Returns			 								C105552
>>>>>> 	LAB 17/8				Alperton, Middlesex		 				Open Document, Open Description	Open Immediately			C2015202
>>>>>> 	LAB 17/9				Croydon, Surrey		 				Open Document, Open Description	Open Immediately			C2015203
>>>>>> 	LAB 17/10				Surbiton, Surrey		 				Open Document, Open Description	Open Immediately			C2015204
>>>>>> 	LAB 17/11				Sutton, Surrey		 				Open Document, Open Description	Open Immediately			C2015205
>>>>>> 	LAB 17/12				Forest Gate, London and Hayes, Kent		 				Open Document, Open Description	Open Immediately			C2015206
>>>>>> 	LAB 17/13				Bexhill, Sussex		 				Open Document, Open Description	Open Immediately			C2015207
>>>>>> 	LAB 17/14				Rainham, Kent		 				Open Document, Open Description	Open Immediately			C2015208
>>>>>> 	LAB 17/15				Brightlingsea, Essex		 				Open Document, Open Description	Open Immediately			C2015209
>>>>>> 	LAB 17/16				Heathfield, Sussex		 				Open Document, Open Description	Open Immediately			C2015210
>>>>>> 	LAB 17/17				Litlington, Hertfordshire		 				Open Document, Open Description	Open Immediately			C2015211
>>>>>> 	LAB 17/18				Great Holland, Essex		 				Open Document, Open Description	Open Immediately			C2015212
>>>>>> 	LAB 17/19				Cambridge		 				Open Document, Open Description	Open Immediately			C2015213
>>>>>> 	LAB 17/20				Maidstone, Kent		 				Open Document, Open Description	Open Immediately			C2015214
>>>>>> 	LAB 17/21				Shirehampton, Bristol		 				Open Document, Open Description	Open Immediately			C2015215
>>>>>> 	LAB 17/22				Bristol, Shirehampton		 				Open Document, Open Description	Open Immediately			C2015216
>>>>>> 	LAB 17/23				Eastville, Bristol		 				Open Document, Open Description	Open Immediately			C2015217
>>>>>> 	LAB 17/24				St. Thomas', Exeter and Pomphlett, Plymouth		 				Open Document, Open Description	Open Immediately			C2015218
>>>>>> 	LAB 17/25				Southampton, Hampshire		 				Open Document, Open Description	Open Immediately			C2015219
>>>>>> 	LAB 17/26				Mytchett, Surrey		 				Open Document, Open Description	Open Immediately			C2015220
>>>>>> 	LAB 17/27				Dulverton, Somerset		 				Open Document, Open Description	Open Immediately			C2015221
>>>>>> 	LAB 17/28				Southampton, Hampshire		 				Open Document, Open Description	Open Immediately			C2015222
>>>>>> 	LAB 17/29				Nottingham		 				Open Document, Open Description	Open Immediately			C2015223
>>>>>> 	LAB 17/30				North Shields, Northumberland		 				Open Document, Open Description	Open Immediately			C2015224
>>>>>> 	LAB 17/31				Glasgow		 				Open Document, Open Description	Open Immediately			C2015225
>>>>>> 	LAB 17/32				Birkhill, Dundee		 				Open Document, Open Description	Open Immediately			C2015226
>>>>>> 	LAB 17/33				Glasgow		 				Open Document, Open Description	Open Immediately			C2015227
>>>>>> 	LAB 17/34				Buckie, Banffshire		 				Open Document, Open Description	Open Immediately			C2015228
>>>>>> 	LAB 17/35				Methil and Cowdenbeath, Fifeshire		 				Open Document, Open Description	Open Immediately			C2015229
>>>>>> 	LAB 17/36				Perth		 				Open Document, Open Description	Open Immediately			C2015230
>>>>>> 	LAB 17/37				Bathgate, West Lothian		 				Open Document, Open Description	Open Immediately			C2015231
>>>>>> 	LAB 17/38				Hillington, Glasgow		 				Open Document, Open Description	Open Immediately			C2015232
>>>>>> 	LAB 17/39				Glasgow		 				Open Document, Open Description	Open Immediately			C2015233
>>>>>> 	LAB 17/40				Barry, Glamorganshire		 				Open Document, Open Description	Open Immediately			C2015234
>>>>>> 	LAB 17/41				Caernarvon		 				Open Document, Open Description	Open Immediately			C2015235
>>>>>> 	LAB 17/42				Port Talbot, Glamorganshire		 				Open Document, Open Description	Open Immediately			C2015236
>>>>>> 	LAB 17/43				Swansea, Glamorganshire		 				Open Document, Open Description	Open Immediately			C2015237
>>>>>> 	LAB 17/44				Belfast, Northern Ireland		 				Open Document, Open Description	Open Immediately			C2015238
>>>>>> 	LAB 17/45				Belfast, Northern Ireland		 				Open Document, Open Description	Open Immediately			C2015239
>>>>>> 	LAB 17/46				Belfast, Northern Ireland		 				Open Document, Open Description	Open Immediately			C2015240
>>>>>> 	LAB 17/47				Bishop's Stortford, Hertfordshire and Farnham, Essex		 				Open Document, Open Description	Open Immediately			C2015241
>>>>>> 	LAB 17/48				Blackheath, Suffolk		 				Open Document, Open Description	Open Immediately			C2015242
>>>>>> 	LAB 17/49				Wingham, Kent		 				Open Document, Open Description	Open Immediately			C2015243
>>>>>> 	LAB 17/50				Foulsham, Norfolk		 				Open Document, Open Description	Open Immediately			C2015244
>>>>>> 	LAB 17/51				Cricklade, Wiltshire		 				Open Document, Open Description	Open Immediately			C2015245
>>>>>> 	LAB 17/52				Bishop's Lydeard, Somerset		 				Open Document, Open Description	Open Immediately			C2015246
>>>>>> 	LAB 17/53				Woolsthorpe, Grantham, Lincolnshire		 				Open Document, Open Description	Open Immediately			C2015247
>>>>>> 	LAB 17/54				Croft, Lincolnshire		 				Open Document, Open Description	Open Immediately			C2015248
>>>>>> 	LAB 17/55				Edgell, Angus		 				Open Document, Open Description	Open Immediately			C2015249
>>>>>> 	LAB 17/56				Dores and Beauly, Inverness-shire		 				Open Document, Open Description	Open Immediately			C2015250
>>>>>> 	LAB 17/57				Newsham, Northumberland		 				Open Document, Open Description	Open Immediately			C2015251
>>>>>> 	LAB 17/58				Newcastle, Northumberland		 				Open Document, Open Description	Open Immediately			C2015252
>>>>>> 	LAB 17/59				Winlaton, Durham		 				Open Document, Open Description	Open Immediately			C2015253
>>>>>> 	LAB 17/60				Southwick-on-Wear, Sunderland		 				Open Document, Open Description	Open Immediately			C2015254
>>>>>> 	LAB 17/61				Middlesbrough, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015255
>>>>>> 	LAB 17/62				Liverpool, Lancashire		 				Open Document, Open Description	Open Immediately			C2015256
>>>>>> 	LAB 17/63				Moss Side, Manchester, Lancashire		 				Open Document, Open Description	Open Immediately			C2015257
>>>>>> 	LAB 17/64				Bamber Bridge, Lancashire		 				Open Document, Open Description	Open Immediately			C2015258
>>>>>> 	LAB 17/65				Wigan, Lancashire		 				Open Document, Open Description	Open Immediately			C2015259
>>>>>> 	LAB 17/66				Altrincham, Cheshire		 				Open Document, Open Description	Open Immediately			C2015260
>>>>>> 	LAB 17/67				Oakamoor, Staffordshire		 				Open Document, Open Description	Open Immediately			C2015261
>>>>>> 	LAB 17/68				Derby		 				Open Document, Open Description	Open Immediately			C2015262
>>>>>> 	LAB 17/69				Kidderminster, Worcestershire		 				Open Document, Open Description	Open Immediately			C2015263
>>>>>> 	LAB 17/70				Melton Mowbray, Leicestershire		 				Open Document, Open Description	Open Immediately			C2015264
>>>>>> 	LAB 17/71				Nuneaton, Warwickshire		 				Open Document, Open Description	Open Immediately			C2015265
>>>>>> 	LAB 17/72				Sparkbrook, Birmingham		 				Open Document, Open Description	Open Immediately			C2015266
>>>>>> 	LAB 17/73				Wellington, Staffordshire		 				Open Document, Open Description	Open Immediately			C2015267
>>>>>> 	LAB 17/74				Bolehall, Tamworth and Wilnecote, Warwickshire		 				Open Document, Open Description	Open Immediately			C2015268
>>>>>> 	LAB 17/75				Corby, Northamptonshire		 				Open Document, Open Description	Open Immediately			C2015269
>>>>>> 	LAB 17/76				Shrewsbury, Shropshire		 				Open Document, Open Description	Open Immediately			C2015270
>>>>>> 	LAB 17/77				Hinckley, Leicestershire		 				Open Document, Open Description	Open Immediately			C2015271
>>>>>> 	LAB 17/78				Innerwick, East Lothian		 				Open Document, Open Description	Open Immediately			C2015272
>>>>>> 	LAB 17/79				Llandrindod Wells, Radnorshire		 				Open Document, Open Description	Open Immediately			C2015273
>>>>>> 	LAB 17/80				Butlington, Montgomeryshire		 				Open Document, Open Description	Open Immediately			C2015274
>>>>>> 	LAB 17/81				Moneymore, Northern Ireland		 				Open Document, Open Description	Open Immediately			C2015275
>>>>>> 	LAB 17/82				Anerley, London		 				Open Document, Open Description	Open Immediately			C2015276
>>>>>> 	LAB 17/83				Canning Town, London		 				Open Document, Open Description	Open Immediately			C2015277
>>>>>> 	LAB 17/84				Deptford, London		 				Open Document, Open Description	Open Immediately			C2015278
>>>>>> 	LAB 17/85				Whitechapel, London		 				Open Document, Open Description	Open Immediately			C2015279
>>>>>> 	LAB 17/86				Lower Tooting, London		 				Open Document, Open Description	Open Immediately			C2015280
>>>>>> 	LAB 17/87				Deptford, London		 				Open Document, Open Description	Open Immediately			C2015281
>>>>>> 	LAB 17/88				Clapton, London		 				Open Document, Open Description	Open Immediately			C2015282
>>>>>> 	LAB 17/89				Ladywell, London		 				Open Document, Open Description	Open Immediately			C2015283
>>>>>> 	LAB 17/90				Kingston-on-Thames, Surrey		 				Open Document, Open Description	Open Immediately			C2015284
>>>>>> 	LAB 17/91				Hove Edge, Brighouse and Bingley, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015285
>>>>>> 	LAB 17/92				Dewsbury, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015286
>>>>>> 	LAB 17/93				Holmfirth, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015287
>>>>>> 	LAB 17/94				Keighley, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015288
>>>>>> 	LAB 17/95				Normanton, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015289
>>>>>> 	LAB 17/96				Sheffield, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015290
>>>>>> 	LAB 17/97				Todmorden, Lancashire		 				Open Document, Open Description	Open Immediately			C2015291
>>>>>> 	LAB 17/98				Beverley, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015292
>>>>>> 	LAB 17/99				Hull, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015293
>>>>>> 	LAB 17/100				Sheffield, Yorkshire		 				Open Document, Open Description	Open Immediately			C2015294
>>>>>> 	LAB 17/101				Blackburn, Lancashire		 				Open Document, Open Description	Open Immediately			C2015295
>>>>>> 	LAB 17/102				Liverpool, Lancashire		 				Open Document, Open Description	Open Immediately			C2015296
>>>>>> 	LAB 17/103				Salford and Ashton-under-Lyne, Lancashire and Dukinfield, Cheshire		 				Open Document, Open Description	Open Immediately			C2015297
>>>>>> 	LAB 17/104				Liverpool, Lancashire		 				Open Document, Open Description	Open Immediately			C2015298
>>>>>> 	LAB 17/105				Chester		 				Open Document, Open Description	Open Immediately			C2015299
>>>>>> 	LAB 17/106				Heston Moor [? Heaton Norris] Stockport, Cheshire		 				Open Document, Open Description	Open Immediately			C2015300
>>>>>> 	LAB 17/5	Stats.444/1936			Appointment and composition: correspondence	1936-1940	 				Open Document, Open Description	Open Immediately			C2015199
>>>>>> 	LAB 17/6	Stats.144/1937			Minutes of meetings 1-8; recommendations and preparations for enquiry	1936-1937	 				Open Document, Open Description	Open Immediately			C2015200
>>>>>> 	LAB 17/7	Stats.244/1938			Memoranda, copies of enquiry forms and instructions to employment exchanges, etc.; report of enquiry	1934-1951	 				Open Document, Open Description	Open Immediately			C2015201
>>>>   				Forms			 								C43962
>>>>>> 	LAB 17/107				Specimen forms relating to Index of Retail Prices	1960; 1963-1965	 				Open Document, Open Description	Open Immediately			C2015301
>>>>   				Earnings & Hours Enquiry, 1938			 								C43963
>>>>>> 	LAB 17/108	2/STATS.226/1938 1958			Particulars of Government Industrial Establishment.	1938-1939	 				Open Document, Open Description	Open Immediately			C2015302
>>>>>> 	LAB 17/109	2/STATS.228/1938 1958			Non-Governmental organisations	1937-1939	 				Open Document, Open Description	Open Immediately			C2015303
>>>>   				Application of Automatic Data Processing			 								C43964
>>>>>> 	LAB 17/240	1/Stats 501/1959			Unemployment statistics: EDS 2, EDS 10, EDS 10A, EDS 82, EDS 82A and EDS 82B	1960-1962	 				Open Document, Open Description	Open Immediately			C2015434
>>>>>> 	LAB 17/241	S 681/Stats 501/2/1959			Unemployment returns: ED	1960-1961	 				Open Document, Open Description	Open Immediately			C2015435
>>>>>> 	LAB 17/242	1/Stats 502/1959			Placings and vacancies statistics	1960-1961	 				Open Document, Open Description	Open Immediately			C2015436
>>>>>> 	LAB 17/243	1/Stats 503/1959			Disabled persons' statistics: DP 5	1959-1961	 				Open Document, Open Description	Open Immediately			C2015437
>>>>>> 	LAB 17/244	1/Stats 508/1959			Family Expenditure Survey	1959-1962	 				Open Document, Open Description	Open Immediately			C2015438
>>>>   				RETAIL PRICES INDEX (RPI)			 								C43965
>>>>>> 	LAB 17/393	3/stats 100/1965			Request from OECD for assistance in compiling RPI for international officials serving in London	1964-1965	 				Open Document, Open Description	Open Immediately			C2015587
>>>>>> 	LAB 17/394	3/stats 105/1965			Additional indices for use by HM Customs and Excise	1965-1978	 				Open Document, Open Description	Open Immediately			C2015588
>>>>>> 	LAB 17/395	3/stats 119/1965			Comparison of retail and wholesale prices	1954-1965	 				Open Document, Open Description	Open Immediately			C2015589
>>>>>> 	LAB 17/396	3/stats 126/1965			Enquiry as to the statutory authority requiring the RPI compiled	1965	 				Open Document, Open Description	Open Immediately			C2015590
>>>>>> 	LAB 17/397	3/stats 138/1965			Proposal for a separate 'Pensioner' index	1965-1971	 				Open Document, Open Description	Open Immediately			C2015591
>>>>>> 	LAB 17/398	3/sxtats 138/1965			Proposal from Department of Economic Affairs that taxation should be excluded from index	1965-1967	 				Open Document, Open Description	Open Immediately			C2015592
>>>>>> 	LAB 17/399	3/stats 144/1965			Dates in respect of which the index is calculated	1965-1966	 				Open Document, Open Description	Open Immediately			C2015593
>>>>>> 	LAB 17/400	3/stats/146/1965			Proposals for increasing the sample of privately-owned rented dwellings	1965-1972	 				Open Document, Open Description	Open Immediately			C2015594
>>>>   				FAMILY EXPENDITURE SURVEY			 								C43966
>>>>>> 	LAB 17/401	3/stats 200/1965			Ministry of Housing and Local Government: gross annual values for local authority dwellings	1965	 				Open Document, Open Description	Open Immediately			C2015595
>>>>>> 	LAB 17/402	3/stats 202/1965			Central Statistical Office: computer programming arrangements for 1965	1965-1968	 				Open Document, Open Description	Open Immediately			C2015596
>>>>>> 	LAB 17/403	3/stats 203/1965			Proposals for enlarging sample of households in the survey: papers and correspondence	1965-1966	 				Open Document, Open Description	Open Immediately			C2015597
>>>>>> 	LAB 17/404	3/stats 205/1965			Arrangements for carrying out 1966 survey	1965-1967	 				Open Document, Open Description	Open Immediately			C2015598
>>>>>> 	LAB 17/405	3/stats 206/1965			Computer arrangements for 1966 survey	1965-1967	 				Open Document, Open Description	Open Immediately			C2015599
>>>>>> 	LAB 17/406	3/stats 207/1965			Central Statistical Office: programming arrangements for 1966	1965-1967	 				Open Document, Open Description	Open Immediately			C2015600
>>>>>> 	LAB 17/407	3/stats 220/1965			Analaysis by pensioner households in 1963/64: proposal for Retail Price Index for Pensioners	1965	 				Open Document, Open Description	Open Immediately			C2015601
>>>>>> 	LAB 17/408	3/stats 222/1965			Sample percentage analysis of characteristics: 1961 to 1963	1965-1967	 				Open Document, Open Description	Open Immediately			C2015602
>>>>>> 	LAB 17/409	3/stats 224/1965			Analysis of earnings by area, industry, occupation, sex and age	1965-1967	 				Open Document, Open Description	Open Immediately			C2015603
>>>>>> 	LAB 17/410	3/stats 238/1965			Possible users of enlarged survey: discussions with Inland Revenue	1965-1968	 				Open Document, Open Description	Open Immediately			C2015604
>>>>>> 	LAB 17/411	3/stats 239/1965			Possible users of enlarged survey: discussions with Department of Economic Affairs	1965-1966	 				Open Document, Open Description	Open Immediately			C2015605
>>>>>> 	LAB 17/412	3/stats 240/1965			Possible users of enlarged survey: discussions with Ministry of Power	1965-1967	 				Open Document, Open Description	Open Immediately			C2015606
>>>>>> 	LAB 17/413	3/stats 241/1965			Possible uses of enlarged survey: discussions with Board of Trade	1965-1966	 				Open Document, Open Description	Open Immediately			C2015607
>>>>>> 	LAB 17/414	3/stats 242/1965			Possible users of enlarged survey: discussions with Ministry of Transport	1965-1967	 				Open Document, Open Description	Open Immediately			C2015608
>>>>>> 	LAB 17/415	3/stats 243/1965			Possible users of enlarged survey: discussions with Central Statistical Office	1965-1966	 				Open Document, Open Description	Open Immediately			C2015609
>>>>>> 	LAB 17/416	3/stats 247/1965			Provision of basic data for other Government Departments	1965-1966	 				Open Document, Open Description	Open Immediately			C2015610
>>>>>> 	LAB 17/417	3/stats 248/1965			Retention and destruction matters for all data relating to 1953/54 enquiry	1965	 				Open Document, Open Description	Open Immediately			C2015611
>>>>>> 	LAB 17/418	3/stats 249/1965			Possible uses of enlarged survey: discussions with National Assistance Board	1965-1968	 				Open Document, Open Description	Open Immediately			C2015612
>>>>>> 	LAB 17/419	3/stats 256/1965			Possible uses of enlarged survey: discussions with Department of Education and Science	1965-1968	 				Open Document, Open Description	Open Immediately			C2015613
>>>>>> 	LAB 17/420	3/stats 258/1965			Central Statistical Office: note on consumer purchases on different days of the week	1965-1968	 				Open Document, Open Description	Open Immediately			C2015614
