Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	WO 33	O and A file series		War Office: Reports, Memoranda and Papers (O and A Series)	This series contains confidential printed reports, memoranda etc, which were specially printed and given a limited circulation, dealing with all aspects of the administration of the departments and the armed forces. ¶ Initially, they were issued from 1853-1858 in a numbered sequence covering 1853 to 1855 and separate numbered sequences for 1856, 1857 and 1858. In 1859 a prefix (letter O or number nought) was introduced which was used in a single sequence until 1886 when a series with an A prefix was introduced (paper O 1016 was followed by paper A16). ¶ There were also separate B and C series of papers, but the latter (which by the 1940's was reserved for papers classified 'confidential') does not survive as a distinct set. ¶ There were also other serial numbers in use for secret and confidential papers, usually those originating in other departments. Such documents will normally be found in the records of the originating department. ¶ Material originally assigned to WO 130, which was abolished in June 1969, is now WO 33/1574-1623; the other papers fomerly in WO 130 largely duplicated material already in WO 33.	1853-1969	3409 files and volumes			For related printed material see WO 279; See also Records of Commissions, Committees and Councils, etc ; For other A papers, relating to the Second World War, many of which will have copies in this series, see WO 212		Normal Closure before FOI Act: 	30		C14242
>>>>>> 	WO 33/1				Papers, 1854-1855. (Described at item level)	1854-1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1202570
>>>>>>>	WO 33/1/1854/1	Paper number 1			Report of the Committee on the Ordnance Office. ¶ Missing at transfer	1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215544
>>>>>>>	WO 33/1/1854/2	Paper number 2			Re-arrangement of services charged on the gross revenue. ¶ Missing at transfer	1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215545
>>>>>>>	WO 33/1/1854/3	Paper number 3			Memorandum on the advantages of Aldershot for a proposed permanent encampment	1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215546
>>>>>>>	WO 33/1/1854/4	Paper number 4			Crimea: Treasury minute on the Commissariat. ¶ Missing at transfer	1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215547
>>>>>>>	WO 33/1/1854/6	Paper number 6			Treasury minute on transfer of Commissariat to War Department. ¶ Missing from volume - but accessioned as WO 33/1/1 in 2018	1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215548
>>>>>>>	WO 33/1/1855/1	Paper number 1			Articles of Capitulation for the formation of a foreign legion for the service of her Britannic Majesty	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215549
>>>>>>>	WO 33/1/1855/2	Paper number 2			The Statutes of the Order of St. Ferdinand and of Sain Hermenegild, 1815 (Translation printed 1855)	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215550
>>>>>>>	WO 33/1/1855/3	Paper number 3			Regulations to be observed on board ships appropriated to the conveyance of sick and wounded from the Seat of War to England	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215551
>>>>>>>	WO 33/1/1855/4	Paper number 4			Enquiry into the organisation of the civil and administrative departments of the French Army	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215552
>>>>>>>	WO 33/1/1855/5	Paper number 5			Observations on the armaments for Crimea. ¶ Missing from volume - but accessioned as WO 33/1/2 in 2018	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215553
>>>>>>>	WO 33/1/1855/6	Paper number 6			Topographical memoir for military purpose, of the Sea of Azov, the Crimea and the neighbourhood of the Kouban.	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215554
>>>>>>>	WO 33/1/1855/7	Paper number 7			Duke of Newcastle to Field Marshal Lord Raglan concerning complaints of maladministration of the army in the Crimea 6th Jan. 1855	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215555
>>>>>>>	WO 33/1/1855/8	Paper number 8			Duke of Newcastle to Colonel the Lord W. Pauler regarding appointment to command in the Bosphorus	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215556
>>>>>>>	WO 33/1/1855/9	Paper number 9			Duke of Newcastle to Field Marshal Lord Raglan complaining of conduct of staff in the treatment of the 9th Regiment	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215557
