Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	WO 23			Royal Hospital Chelsea: Admission Books, Registers and Papers	The records in this series consist of registers, admission books, ledgers etc relating to army pensioners and the payment of pensions. Most, but by no means all, relate to pensions payable by the Commissioners of the Royal Hospital, Chelsea, to either in-pensioners or out-pensioners ¶ Most registers and admission books give name, rank and regiment, rate of pension, date of admission to pension, and residence. Many give, in addition, date and place of birth, a record of service and complaint or reason for discharge.	1702-1933	181 volume(s)					Normal Closure before FOI Act: 	30		C14232
>>>>   				OUT PENSIONERS			 								C19034
>>>>>  				Class Books	These class books give details by regiment of current pensioners, complaints on admission, places of origin, ages and length of service.	1806-1807	 								C91362
>>>>>> 	WO 23/136	vol 1			1st Troop of Horse Guards to 9th Foot	1806 Dec-1807 June	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169129
>>>>>> 	WO 23/137	vol 2			10th to 37th Foot	1806 Dec-1807 June	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169130
>>>>>> 	WO 23/138	vol 3			38th to 72nd Foot	1806 Dec-1807 June	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169131
>>>>>> 	WO 23/139	vol 4			73rd Foot to Independent Company	1806 Dec-1807 June	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169132
>>>>>> 	WO 23/140	vol 5			Militia, special allowance men, blind men and garrison sergeants	1806 Dec-1807 June	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169133
>>>>>  				Admission Books			 								C91363
>>>>>> 	WO 23/1				Admission books	1830	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169135
>>>>>> 	WO 23/2				Admission books	1831	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169136
>>>>>> 	WO 23/3				Admission books	1832	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169137
>>>>>> 	WO 23/4				Admission books	1833 Jan-Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169138
>>>>>> 	WO 23/5				Admission books	1833 Nov-1834 Oct	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169139
>>>>>> 	WO 23/6				Admission books	1834 Nov-1835 July	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169140
>>>>>> 	WO 23/7				Admission books	1835 July-1836 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169141
>>>>>> 	WO 23/8				Admission books	1836 Jan-Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169142
>>>>>> 	WO 23/9				Admission books	1836 Oct-1837 Dec	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169143
>>>>>> 	WO 23/10				Admission books	1838	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169144
>>>>>> 	WO 23/11				Admission books	1839	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169145
>>>>>> 	WO 23/12				Admission books	1840	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169146
>>>>>> 	WO 23/13				Admission books	1841	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169147
>>>>>> 	WO 23/14				Admission books	1842	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169148
>>>>>> 	WO 23/15				Admission books	1843	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169149
>>>>>> 	WO 23/16				Admission books	1844	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169150
>>>>>> 	WO 23/133				In (house) and out-pensions. The document includes both in-pensioners and out-pensioners.	1778-1796	 	Thought to relate to Kilmainham Hospital. No. 5 of a series the remainder of which is missing. In the Standard List set in the reading rooms at TNA, Kew, this piece is identically listed under the headings 'In Pensioners' and 'Out pensioners', subheading 'Admission Books'. Indexed by WO 118/36.			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169134
>>>>>  				Chelsea Registers	Registers of pensions by regiment, of retired full pay and pay of general officers, of half pay and non-effective pay, of compassionate allowances and bounty, (with summaries).	1805-1895	 								C91364
>>>>>> 	WO 23/26	vol 14			Rifle Brigade, African Corps, miscellaneous units and militia. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169164
>>>>>> 	WO 23/27	vol 15			Garrison and veteran battalions and companies. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169165
>>>>>> 	WO 23/28	vol 16			Horse Artillery and Foot Artillery Battalions 1-6. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169166
>>>>>> 	WO 23/29	vol 17			Foot Artillery Battalions 7-10 Sappers and Miners; and other ordnance units. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169167
>>>>>> 	WO 23/30	vol 18			1 Life Guards to 72 Foot: pensioners in the colonies or on the continent. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169168
>>>>>> 	WO 23/31	vol 19			73-104 Foot and all other regiments and corps: pensioners in the colonies or on the continent. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169169
>>>>>> 	WO 23/32	vol 20			King's German Legion, Foreign Corps and 'Negro' Pensioners. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169170
>>>>>> 	WO 23/33	vol 1			1 Life Guards to 5 Dragoons. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169151
>>>>>> 	WO 23/34	vol 2			6 Dragoons to Waggon Train. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169152
>>>>>> 	WO 23/35	vol 3			1-3 Foot Guards. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169153
>>>>>> 	WO 23/36	vol 4			1-9 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169154
>>>>>> 	WO 23/37	vol 5			10-19 Foot. The dates of service are 1820-1854	1845-1854	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169155
